Person title (if any),Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
Prof (Chair of agricultural ecology),Azzi,Girolamo,1885,1969,"Agronomy Department, University of Perugia",Perugia,Perugia,Italy,Italy,Member,Agriculture
Prof,Bergeiro,José Maria,1906,1962,Prado Observatory,Montevideo,Montevideo,Uruguay,Uruguay,Member,Meteorology
Dr,Bernard,Etienne A.,1917,1998,National Institute for Agronomic Study of the Belgian Congo,Yangambi,Yangambi,Belgium (Belgian Congo),Zimbabwe,Member,Agriculture
Dr,de Boer,Herman Johannes ,1904,1978,"Royal Netherland Magnetic and Meteorological Observatory, Batavia",Batavia ,Batavia ,The Netherlands (Dutch East Indies Jakarta),Indonesia,Member,Meteorology
,Boughner,Clarence Clarkson,1910,1985,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
Prof,da Câmara,António Pereira de Sousa ,1901,1971,Portuguese National Agronomy Station,(Sacavém) Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
Ing agr,Carton,Paul,1891,1969,General Inspectorate for Agriculture of the French Indochina,Hanoi,Hanoi,France (Frecnh Indochina),Vietnam,Member,Agriculture
"Dr
(Director)",Deij,Lodewijk Jan Leonardus,1907,1956,Royal Netherland Meteorological Office,de Bilt,de Bilt,The Netherlands,The Netherlands,Member,Meteorology
,Durst,Charles Sumner,1888,1961,British Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
(Director),Feige,Rudolf,1889,1948,Israeli Meteorological Service,Jerusalem,Jerusalem,Palestine,Palestine,Member,Meteorology
Dr,Fintiklis (Findlikis),Theoklitos Th.,,,"Athens Central Observatory, Agricultural Meteorology Section",Athens,Athens,Greece,Greece,Member,
(Chief scientific officer),Foley,James Charles,1892,1967,Australian Bureau of Meteorology,Melbourne,Melbourne,Australia,Australia,Member,Meteorology
Dr,Geslin,Henri,1899,1976,Institute of Agronomy Research,Versaillles,Versaillles,France,France,Member,Agriculture
(Director),Gillen,Mathias Joseph,1891,,Luxemburg State Agricultural Services,Luxemburg,Luxemburg,Luxemburg,Luxemburg,Member,Agriculture
"Prof
(Director)",Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Oslo (Blindern),Oslo,Norway,Norway,Member,Meteorology
"Prof Ing Agr
(Director)",Hirschhorn,Julio,1895,,"Agronomy Department, National University of La Plata and Arroz Experimental Station",Buenos Aires,Buenos Aires,Argentina,Argentina,Member,Agriculture
Prof,Keränen,Jaakko,1883,1979,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
Dr,Lorente Pérez,Jose Maria,1891,1983,Spanish Meteorological Service,Madrid,Madrid,Spain,Spain,Member,Meteorology
"Dr
(Director)",Lugeon,Jean,1898,1976,Swiss Meteorological Service,Zurich,Zurich,Switzerland,Switzerland,Member,Meteorology
Prof,Mariolopulos,Elias G.,1900,1991,Greek National Observatory,Athens,Athens,Greece,Greece,Member,Meteorology
(Director),Peake,J. S. ,,,Southern Rhodesia Meteorological Office,Salisbury,Harare,Great Britain (Southern Rhodesia),Zimbabwe,Member,Meteorology
Agricultural Ecologist,Pires Xavier,Raul,,,"Agricultural Meteorology Section, Brasilian Meteorological Service",Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Member,Agriculture
,Poncelet,Lucien,1902,1965,Royal Meteorological Institute of Belgium,Uccle,Uccle,Belgium,Belgium,Member,Meteorology
Dr,Ramdas,Lakshminarayanapuram Ananthakrishnaiyer,1900,1979,"Indian Meteorological Department, Agricultural Meteorology Section",Poona,Pune,Great Britain,India,Member,Meteorology
Prof,Roncali,Giorgio,1903,1975,Italian Central Office for Meteorology and Agrarian Ecology,Rome,Rome,Italy,Italy,Member,Meteorology
(Deputy Director),Roy,A. K. ,1900,1973,Indian Meteorological Department,Poona,Pune,Great Britain (India),India,Member,Meteorology
"Ing agr
(Section Director)",Sanson,Joseph,1889,1958,French Meteorological Service,Versailles,Versailles,France,France,Member,Agriculture
"Dr
(Chief)",Sarle,Charles Faye,1892,1966,"Division of Special Farm Statistics, US Department of Agriculture",Washington,Washington,USA,USA,Member,Agriculture
Prof Dr,Seelye,Cassilis James,1912,1960,Victoria University,Wellington,Wellington,New Zealand,New Zealand,Member,Meteorology
,Sinelshikov,Victor Vasilyevich,1909,1968,"USSR Ministry of Agriculture, Bureau of Hydrology and Meteorology",Moskow,Moskow,USSR,USSR,President,Agriculture
Ing agr,Siriez,Henri,1906,1982,French Ministry of Agriculture,Paris,Paris,France,France,Member,Agriculture
,Smit,H. P.,,,South African Meteorological Department,Pretoria,Pretoria,South Africa,South Africa,Member,Meteorology
,Sutton,L. J.,,,"Egyptian Meteorological Service, Physical Department",Cairo,Cairo,Egypt,Egypt,Member,Meteorology
,T'U,Chang Wang,1906,1962,Academia Sinica,Nanking,Nanking,China,China,Member,Meteorology
Prof Ing Agr,Tiscornia,José,,,"Agronomy Department, University of the Republic",Montevideo,Montevideo,Uruguay,Uruguay,Member,Agriculture
Ing,Zender Honigman,Jacobo,1908,,La Molina Experimental Station,Lima,Lima,Peru,Peru,Member,Agriculture